DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter343,Cetirizine,DDInter900,Ibuprofen,Unknown
DDInter343,Cetirizine,DDInter826,Glipizide,Unknown
DDInter343,Cetirizine,DDInter769,Fluvastatin,Unknown
DDInter343,Cetirizine,DDInter1622,Rosuvastatin,Unknown
DDInter343,Cetirizine,DDInter1291,Nifedipine,Unknown
DDInter343,Cetirizine,DDInter611,Dutasteride,Unknown
DDInter343,Cetirizine,DDInter1559,Rabeprazole,Unknown
DDInter343,Cetirizine,DDInter272,Calcium chloride,Unknown
DDInter343,Cetirizine,DDInter1325,Ofloxacin,Unknown
DDInter343,Cetirizine,DDInter995,Itraconazole,Unknown
DDInter343,Cetirizine,DDInter237,Brinzolamide,Unknown
DDInter343,Cetirizine,DDInter393,Clarithromycin,Unknown
DDInter343,Cetirizine,DDInter513,Dexamethasone,Unknown
DDInter343,Cetirizine,DDInter326,Cefpodoxime,Unknown
DDInter343,Cetirizine,DDInter13,Acenocoumarol,Unknown
DDInter343,Cetirizine,DDInter402,Clobetasol,Unknown
DDInter343,Cetirizine,DDInter766,Fluticasone,Unknown
DDInter561,Diltiazem,DDInter1635,Salmeterol,Unknown
DDInter561,Diltiazem,DDInter732,Fexofenadine,Unknown
DDInter561,Diltiazem,DDInter506,Desloratadine,Unknown
DDInter561,Diltiazem,DDInter776,Formoterol,Unknown
DDInter343,Cetirizine,DDInter44,Alfuzosin,Unknown
DDInter44,Alfuzosin,DDInter732,Fexofenadine,Unknown
DDInter44,Alfuzosin,DDInter900,Ibuprofen,Unknown
DDInter44,Alfuzosin,DDInter246,Budesonide,Unknown
DDInter44,Alfuzosin,DDInter513,Dexamethasone,Unknown
DDInter44,Alfuzosin,DDInter766,Fluticasone,Unknown
DDInter1809,Timolol,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter79,Amlodipine,Unknown
DDInter343,Cetirizine,DDInter79,Amlodipine,Unknown
DDInter79,Amlodipine,DDInter1249,Mupirocin,Unknown
DDInter79,Amlodipine,DDInter1091,Loratadine,Unknown
DDInter79,Amlodipine,DDInter1635,Salmeterol,Unknown
DDInter79,Amlodipine,DDInter732,Fexofenadine,Unknown
DDInter79,Amlodipine,DDInter506,Desloratadine,Unknown
DDInter79,Amlodipine,DDInter776,Formoterol,Unknown
DDInter79,Amlodipine,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter554,Digoxin,Unknown
DDInter554,Digoxin,DDInter1249,Mupirocin,Unknown
DDInter554,Digoxin,DDInter1091,Loratadine,Unknown
DDInter554,Digoxin,DDInter1635,Salmeterol,Unknown
DDInter554,Digoxin,DDInter732,Fexofenadine,Unknown
DDInter554,Digoxin,DDInter506,Desloratadine,Unknown
DDInter554,Digoxin,DDInter776,Formoterol,Unknown
DDInter554,Digoxin,DDInter1533,Promethazine,Unknown
DDInter554,Digoxin,DDInter766,Fluticasone,Unknown
DDInter1529,Progesterone,DDInter1635,Salmeterol,Unknown
DDInter1529,Progesterone,DDInter506,Desloratadine,Unknown
DDInter1529,Progesterone,DDInter1533,Promethazine,Unknown
DDInter1529,Progesterone,DDInter766,Fluticasone,Unknown
DDInter1915,Valsartan,DDInter1249,Mupirocin,Unknown
DDInter1834,Topiramate,DDInter1249,Mupirocin,Unknown
DDInter1340,Omeprazole,DDInter1249,Mupirocin,Unknown
DDInter1717,Sucralfate,DDInter1249,Mupirocin,Unknown
DDInter1249,Mupirocin,DDInter1707,Spironolactone,Unknown
DDInter1249,Mupirocin,DDInter48,Allopurinol,Unknown
DDInter1249,Mupirocin,DDInter1916,Vancomycin,Unknown
DDInter1249,Mupirocin,DDInter1018,Lactulose,Unknown
DDInter1249,Mupirocin,DDInter1515,Prednisone,Unknown
DDInter1249,Mupirocin,DDInter1675,Simvastatin,Unknown
DDInter1249,Mupirocin,DDInter1318,Nystatin,Unknown
DDInter1249,Mupirocin,DDInter1304,Nitroglycerin,Unknown
DDInter1249,Mupirocin,DDInter1538,Propofol,Unknown
DDInter1249,Mupirocin,DDInter1513,Prednisolone,Unknown
DDInter1249,Mupirocin,DDInter1342,Ondansetron,Unknown
DDInter1249,Mupirocin,DDInter1533,Promethazine,Unknown
DDInter1249,Mupirocin,DDInter1622,Rosuvastatin,Unknown
DDInter1249,Mupirocin,DDInter272,Calcium chloride,Unknown
DDInter1249,Mupirocin,DDInter1325,Ofloxacin,Unknown
DDInter1249,Mupirocin,DDInter402,Clobetasol,Unknown
DDInter1249,Mupirocin,DDInter766,Fluticasone,Unknown
DDInter1505,Pramipexole,DDInter1513,Prednisolone,Unknown
DDInter1505,Pramipexole,DDInter1635,Salmeterol,Unknown
DDInter1505,Pramipexole,DDInter506,Desloratadine,Unknown
DDInter1505,Pramipexole,DDInter766,Fluticasone,Unknown
DDInter89,Ampicillin,DDInter885,Hydrocortisone,Unknown
DDInter89,Ampicillin,DDInter1513,Prednisolone,Unknown
DDInter89,Ampicillin,DDInter900,Ibuprofen,Unknown
DDInter89,Ampicillin,DDInter513,Dexamethasone,Unknown
DDInter1707,Spironolactone,DDInter506,Desloratadine,Unknown
DDInter1707,Spironolactone,DDInter1277,Neomycin,Unknown
DDInter1707,Spironolactone,DDInter766,Fluticasone,Unknown
DDInter1172,Methocarbamol,DDInter1513,Prednisolone,Unknown
DDInter1172,Methocarbamol,DDInter1635,Salmeterol,Unknown
DDInter1172,Methocarbamol,DDInter506,Desloratadine,Unknown
DDInter1172,Methocarbamol,DDInter766,Fluticasone,Unknown
DDInter48,Allopurinol,DDInter506,Desloratadine,Unknown
DDInter48,Allopurinol,DDInter1277,Neomycin,Unknown
DDInter1874,Trimethoprim,DDInter766,Fluticasone,Unknown
DDInter1249,Mupirocin,DDInter1022,Lansoprazole,Unknown
DDInter1022,Lansoprazole,DDInter1091,Loratadine,Unknown
DDInter1022,Lansoprazole,DDInter1513,Prednisolone,Unknown
DDInter1022,Lansoprazole,DDInter1635,Salmeterol,Unknown
DDInter1022,Lansoprazole,DDInter506,Desloratadine,Unknown
DDInter1022,Lansoprazole,DDInter1533,Promethazine,Unknown
DDInter1022,Lansoprazole,DDInter766,Fluticasone,Unknown
DDInter1323,Octreotide,DDInter1091,Loratadine,Unknown
DDInter1509,Pravastatin,DDInter1091,Loratadine,Unknown
DDInter1915,Valsartan,DDInter1091,Loratadine,Unknown
DDInter1247,Moxifloxacin,DDInter1091,Loratadine,Unknown
DDInter1098,Lovastatin,DDInter1091,Loratadine,Unknown
DDInter1516,Pregabalin,DDInter1091,Loratadine,Unknown
DDInter1200,Metoprolol,DDInter1091,Loratadine,Unknown
DDInter1834,Topiramate,DDInter1091,Loratadine,Unknown
DDInter11,Acarbose,DDInter1091,Loratadine,Unknown
DDInter1244,Morphine,DDInter1091,Loratadine,Unknown
DDInter1164,Metformin,DDInter1091,Loratadine,Unknown
DDInter1326,Olanzapine,DDInter1091,Loratadine,Unknown
DDInter1340,Omeprazole,DDInter1091,Loratadine,Unknown
DDInter1717,Sucralfate,DDInter1091,Loratadine,Unknown
DDInter1809,Timolol,DDInter1091,Loratadine,Unknown
DDInter1870,Trihexyphenidyl,DDInter1091,Loratadine,Unknown
DDInter1529,Progesterone,DDInter1091,Loratadine,Unknown
DDInter1249,Mupirocin,DDInter1091,Loratadine,Unknown
DDInter1505,Pramipexole,DDInter1091,Loratadine,Unknown
DDInter1707,Spironolactone,DDInter1091,Loratadine,Unknown
DDInter1172,Methocarbamol,DDInter1091,Loratadine,Unknown
DDInter48,Allopurinol,DDInter1091,Loratadine,Unknown
DDInter1874,Trimethoprim,DDInter1091,Loratadine,Unknown
DDInter1091,Loratadine,DDInter1254,Nabumetone,Unknown
DDInter1091,Loratadine,DDInter1961,Zidovudine,Unknown
DDInter1091,Loratadine,DDInter1916,Vancomycin,Unknown
DDInter1091,Loratadine,DDInter315,Cefdinir,Unknown
DDInter1091,Loratadine,DDInter1539,Propranolol,Unknown
DDInter1091,Loratadine,DDInter1018,Lactulose,Unknown
DDInter1091,Loratadine,DDInter998,Ivermectin,Unknown
DDInter1091,Loratadine,DDInter1515,Prednisone,Unknown
DDInter1091,Loratadine,DDInter1675,Simvastatin,Unknown
DDInter1091,Loratadine,DDInter1318,Nystatin,Unknown
DDInter1091,Loratadine,DDInter1095,Losartan,Unknown
DDInter1091,Loratadine,DDInter1212,Midazolam,Unknown
DDInter1091,Loratadine,DDInter1822,Tobramycin,Unknown
DDInter1091,Loratadine,DDInter1821,Tizanidine,Unknown
DDInter1091,Loratadine,DDInter1745,Tamsulosin,Unknown
DDInter1091,Loratadine,DDInter1304,Nitroglycerin,Unknown
DDInter1091,Loratadine,DDInter1605,Risperidone,Unknown
DDInter1091,Loratadine,DDInter1783,Tetracycline,Unknown
DDInter1091,Loratadine,DDInter1431,Perindopril,Unknown
DDInter1091,Loratadine,DDInter1143,Meloxicam,Unknown
DDInter1091,Loratadine,DDInter1538,Propofol,Unknown
DDInter1091,Loratadine,DDInter1513,Prednisolone,Unknown
DDInter1091,Loratadine,DDInter1342,Ondansetron,Unknown
DDInter1091,Loratadine,DDInter1202,Metronidazole,Unknown
DDInter1091,Loratadine,DDInter1231,Misoprostol,Unknown
DDInter1091,Loratadine,DDInter1635,Salmeterol,Unknown
DDInter1091,Loratadine,DDInter1191,Methylprednisolone,Unknown
DDInter1091,Loratadine,DDInter1759,Telmisartan,Unknown
DDInter1091,Loratadine,DDInter506,Desloratadine,Unknown
DDInter1091,Loratadine,DDInter1185,Methyldopa,Unknown
DDInter1091,Loratadine,DDInter707,Ezetimibe,Unknown
DDInter1091,Loratadine,DDInter990,Isosorbide mononitrate,Unknown
DDInter1091,Loratadine,DDInter1533,Promethazine,Unknown
DDInter1091,Loratadine,DDInter1622,Rosuvastatin,Unknown
DDInter1091,Loratadine,DDInter1291,Nifedipine,Unknown
DDInter1091,Loratadine,DDInter611,Dutasteride,Unknown
DDInter1091,Loratadine,DDInter1559,Rabeprazole,Unknown
DDInter1091,Loratadine,DDInter272,Calcium chloride,Unknown
DDInter1091,Loratadine,DDInter1325,Ofloxacin,Unknown
DDInter1091,Loratadine,DDInter1046,Levetiracetam,Unknown
DDInter1091,Loratadine,DDInter1197,Metoclopramide,Unknown
DDInter1091,Loratadine,DDInter326,Cefpodoxime,Unknown
DDInter1091,Loratadine,DDInter402,Clobetasol,Unknown
DDInter1091,Loratadine,DDInter766,Fluticasone,Unknown
DDInter1254,Nabumetone,DDInter1635,Salmeterol,Unknown
DDInter1254,Nabumetone,DDInter506,Desloratadine,Unknown
DDInter1254,Nabumetone,DDInter1533,Promethazine,Unknown
DDInter1254,Nabumetone,DDInter766,Fluticasone,Unknown
DDInter1091,Loratadine,DDInter1010,Ketorolac,Unknown
DDInter1010,Ketorolac,DDInter506,Desloratadine,Unknown
DDInter1010,Ketorolac,DDInter1533,Promethazine,Unknown
DDInter1010,Ketorolac,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter758,Fluoxetine,Unknown
DDInter1091,Loratadine,DDInter758,Fluoxetine,Unknown
DDInter758,Fluoxetine,DDInter885,Hydrocortisone,Unknown
DDInter758,Fluoxetine,DDInter1513,Prednisolone,Unknown
DDInter758,Fluoxetine,DDInter506,Desloratadine,Unknown
DDInter758,Fluoxetine,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter363,Chlorpromazine,Unknown
DDInter1091,Loratadine,DDInter363,Chlorpromazine,Unknown
DDInter363,Chlorpromazine,DDInter1513,Prednisolone,Unknown
DDInter363,Chlorpromazine,DDInter900,Ibuprofen,Unknown
DDInter363,Chlorpromazine,DDInter513,Dexamethasone,Unknown
DDInter363,Chlorpromazine,DDInter766,Fluticasone,Unknown
DDInter66,Amikacin,DDInter885,Hydrocortisone,Unknown
DDInter66,Amikacin,DDInter1513,Prednisolone,Unknown
DDInter66,Amikacin,DDInter513,Dexamethasone,Unknown
DDInter1066,Lidocaine,DDInter336,Celecoxib,Unknown
DDInter343,Cetirizine,DDInter336,Celecoxib,Unknown
DDInter1249,Mupirocin,DDInter336,Celecoxib,Unknown
DDInter336,Celecoxib,DDInter1635,Salmeterol,Unknown
DDInter336,Celecoxib,DDInter732,Fexofenadine,Unknown
DDInter336,Celecoxib,DDInter506,Desloratadine,Unknown
DDInter336,Celecoxib,DDInter776,Formoterol,Unknown
DDInter336,Celecoxib,DDInter766,Fluticasone,Unknown
DDInter323,Cefotaxime,DDInter885,Hydrocortisone,Unknown
DDInter323,Cefotaxime,DDInter1513,Prednisolone,Unknown
DDInter323,Cefotaxime,DDInter900,Ibuprofen,Unknown
DDInter323,Cefotaxime,DDInter513,Dexamethasone,Unknown
DDInter323,Cefotaxime,DDInter766,Fluticasone,Unknown
DDInter1961,Zidovudine,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter853,Haloperidol,Unknown
DDInter1091,Loratadine,DDInter853,Haloperidol,Unknown
DDInter853,Haloperidol,DDInter1513,Prednisolone,Unknown
DDInter853,Haloperidol,DDInter900,Ibuprofen,Unknown
DDInter853,Haloperidol,DDInter766,Fluticasone,Unknown
DDInter1607,Ritonavir,DDInter506,Desloratadine,Unknown
DDInter1916,Vancomycin,DDInter506,Desloratadine,Unknown
DDInter1916,Vancomycin,DDInter766,Fluticasone,Unknown
DDInter771,Folic acid,DDInter527,Dextromethorphan,Unknown
DDInter1915,Valsartan,DDInter527,Dextromethorphan,Unknown
DDInter1340,Omeprazole,DDInter527,Dextromethorphan,Unknown
DDInter1961,Zidovudine,DDInter527,Dextromethorphan,Unknown
DDInter527,Dextromethorphan,DDInter790,Furosemide,Unknown
DDInter527,Dextromethorphan,DDInter1088,Loperamide,Unknown
DDInter527,Dextromethorphan,DDInter712,Famotidine,Unknown
DDInter527,Dextromethorphan,DDInter732,Fexofenadine,Unknown
DDInter527,Dextromethorphan,DDInter1191,Methylprednisolone,Unknown
DDInter527,Dextromethorphan,DDInter900,Ibuprofen,Unknown
DDInter527,Dextromethorphan,DDInter1325,Ofloxacin,Unknown
DDInter527,Dextromethorphan,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter384,Ciprofloxacin,Unknown
DDInter1249,Mupirocin,DDInter384,Ciprofloxacin,Unknown
DDInter1091,Loratadine,DDInter384,Ciprofloxacin,Unknown
DDInter384,Ciprofloxacin,DDInter732,Fexofenadine,Unknown
DDInter384,Ciprofloxacin,DDInter506,Desloratadine,Unknown
DDInter384,Ciprofloxacin,DDInter1277,Neomycin,Unknown
DDInter1091,Loratadine,DDInter293,Carbamazepine,Unknown
DDInter293,Carbamazepine,DDInter1635,Salmeterol,Unknown
DDInter293,Carbamazepine,DDInter732,Fexofenadine,Unknown
DDInter293,Carbamazepine,DDInter506,Desloratadine,Unknown
DDInter293,Carbamazepine,DDInter776,Formoterol,Unknown
DDInter293,Carbamazepine,DDInter900,Ibuprofen,Unknown
DDInter293,Carbamazepine,DDInter766,Fluticasone,Unknown
DDInter1539,Propranolol,DDInter506,Desloratadine,Unknown
DDInter1539,Propranolol,DDInter1277,Neomycin,Unknown
DDInter1539,Propranolol,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter136,Atropine,Unknown
DDInter136,Atropine,DDInter1513,Prednisolone,Unknown
DDInter136,Atropine,DDInter900,Ibuprofen,Unknown
DDInter1018,Lactulose,DDInter506,Desloratadine,Unknown
DDInter1066,Lidocaine,DDInter638,Enalapril,Unknown
DDInter1249,Mupirocin,DDInter638,Enalapril,Unknown
DDInter1091,Loratadine,DDInter638,Enalapril,Unknown
DDInter638,Enalapril,DDInter1635,Salmeterol,Unknown
DDInter638,Enalapril,DDInter732,Fexofenadine,Unknown
DDInter638,Enalapril,DDInter506,Desloratadine,Unknown
DDInter638,Enalapril,DDInter776,Formoterol,Unknown
DDInter638,Enalapril,DDInter766,Fluticasone,Unknown
DDInter1249,Mupirocin,DDInter1073,Linezolid,Unknown
DDInter1091,Loratadine,DDInter1073,Linezolid,Unknown
DDInter1073,Linezolid,DDInter1513,Prednisolone,Unknown
DDInter1073,Linezolid,DDInter1277,Neomycin,Unknown
DDInter1073,Linezolid,DDInter766,Fluticasone,Unknown
DDInter343,Cetirizine,DDInter216,Bisoprolol,Unknown
DDInter216,Bisoprolol,DDInter732,Fexofenadine,Unknown
DDInter216,Bisoprolol,DDInter506,Desloratadine,Unknown
DDInter216,Bisoprolol,DDInter766,Fluticasone,Unknown
DDInter624,Efavirenz,DDInter732,Fexofenadine,Unknown
DDInter624,Efavirenz,DDInter766,Fluticasone,Unknown
DDInter1515,Prednisone,DDInter506,Desloratadine,Unknown
DDInter1515,Prednisone,DDInter1533,Promethazine,Unknown
DDInter1515,Prednisone,DDInter766,Fluticasone,Unknown
DDInter1675,Simvastatin,DDInter506,Desloratadine,Unknown
DDInter1675,Simvastatin,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter1928,Verapamil,Unknown
DDInter343,Cetirizine,DDInter1928,Verapamil,Unknown
DDInter1091,Loratadine,DDInter1928,Verapamil,Unknown
DDInter527,Dextromethorphan,DDInter1928,Verapamil,Unknown
DDInter1928,Verapamil,DDInter1635,Salmeterol,Unknown
DDInter1928,Verapamil,DDInter732,Fexofenadine,Unknown
DDInter1928,Verapamil,DDInter506,Desloratadine,Unknown
DDInter1928,Verapamil,DDInter776,Formoterol,Unknown
DDInter771,Folic acid,DDInter652,Epinephrine,Unknown
DDInter1509,Pravastatin,DDInter652,Epinephrine,Unknown
DDInter1915,Valsartan,DDInter652,Epinephrine,Unknown
DDInter162,Baclofen,DDInter652,Epinephrine,Unknown
DDInter670,Erythromycin,DDInter652,Epinephrine,Unknown
DDInter157,Azithromycin,DDInter652,Epinephrine,Unknown
DDInter1247,Moxifloxacin,DDInter652,Epinephrine,Unknown
DDInter1098,Lovastatin,DDInter652,Epinephrine,Unknown
DDInter1516,Pregabalin,DDInter652,Epinephrine,Unknown
DDInter1460,Phenytoin,DDInter652,Epinephrine,Unknown
DDInter416,Clotrimazole,DDInter652,Epinephrine,Unknown
DDInter1834,Topiramate,DDInter652,Epinephrine,Unknown
DDInter1066,Lidocaine,DDInter652,Epinephrine,Unknown
DDInter1244,Morphine,DDInter652,Epinephrine,Unknown
DDInter249,Bupivacaine,DDInter652,Epinephrine,Unknown
DDInter1340,Omeprazole,DDInter652,Epinephrine,Unknown
DDInter343,Cetirizine,DDInter652,Epinephrine,Unknown
DDInter561,Diltiazem,DDInter652,Epinephrine,Unknown
DDInter1717,Sucralfate,DDInter652,Epinephrine,Unknown
DDInter79,Amlodipine,DDInter652,Epinephrine,Unknown
DDInter1505,Pramipexole,DDInter652,Epinephrine,Unknown
DDInter89,Ampicillin,DDInter652,Epinephrine,Unknown
DDInter1707,Spironolactone,DDInter652,Epinephrine,Unknown
DDInter48,Allopurinol,DDInter652,Epinephrine,Unknown
DDInter1022,Lansoprazole,DDInter652,Epinephrine,Unknown
DDInter1091,Loratadine,DDInter652,Epinephrine,Unknown
DDInter1254,Nabumetone,DDInter652,Epinephrine,Unknown
DDInter1010,Ketorolac,DDInter652,Epinephrine,Unknown
DDInter758,Fluoxetine,DDInter652,Epinephrine,Unknown
DDInter66,Amikacin,DDInter652,Epinephrine,Unknown
DDInter336,Celecoxib,DDInter652,Epinephrine,Unknown
DDInter323,Cefotaxime,DDInter652,Epinephrine,Unknown
DDInter1916,Vancomycin,DDInter652,Epinephrine,Unknown
DDInter384,Ciprofloxacin,DDInter652,Epinephrine,Unknown
DDInter293,Carbamazepine,DDInter652,Epinephrine,Unknown
DDInter136,Atropine,DDInter652,Epinephrine,Unknown
DDInter1018,Lactulose,DDInter652,Epinephrine,Unknown
DDInter638,Enalapril,DDInter652,Epinephrine,Unknown
DDInter1515,Prednisone,DDInter652,Epinephrine,Unknown
DDInter1675,Simvastatin,DDInter652,Epinephrine,Unknown
DDInter1318,Nystatin,DDInter652,Epinephrine,Unknown
DDInter1928,Verapamil,DDInter652,Epinephrine,Unknown
DDInter652,Epinephrine,DDInter1095,Losartan,Unknown
DDInter652,Epinephrine,DDInter1212,Midazolam,Unknown
DDInter652,Epinephrine,DDInter1822,Tobramycin,Unknown
DDInter652,Epinephrine,DDInter790,Furosemide,Unknown
DDInter652,Epinephrine,DDInter1821,Tizanidine,Unknown
DDInter652,Epinephrine,DDInter1354,Oxacillin,Unknown
DDInter652,Epinephrine,DDInter1079,Lisinopril,Unknown
DDInter652,Epinephrine,DDInter1304,Nitroglycerin,Unknown
DDInter652,Epinephrine,DDInter885,Hydrocortisone,Unknown
DDInter652,Epinephrine,DDInter413,Clopidogrel,Unknown
DDInter652,Epinephrine,DDInter25,Acyclovir,Unknown
DDInter652,Epinephrine,DDInter1266,Naproxen,Unknown
DDInter652,Epinephrine,DDInter815,Gentamicin,Unknown
DDInter652,Epinephrine,DDInter722,Fentanyl,Unknown
DDInter652,Epinephrine,DDInter1143,Meloxicam,Unknown
DDInter652,Epinephrine,DDInter1538,Propofol,Unknown
DDInter652,Epinephrine,DDInter534,Diazepam,Unknown
DDInter652,Epinephrine,DDInter1088,Loperamide,Unknown
DDInter652,Epinephrine,DDInter577,Dobutamine,Unknown
DDInter652,Epinephrine,DDInter1513,Prednisolone,Unknown
DDInter652,Epinephrine,DDInter989,Isosorbide dinitrate,Unknown
DDInter652,Epinephrine,DDInter1342,Ondansetron,Unknown
DDInter652,Epinephrine,DDInter1202,Metronidazole,Unknown
DDInter652,Epinephrine,DDInter712,Famotidine,Unknown
DDInter652,Epinephrine,DDInter20,Acetylsalicylic acid,Unknown
DDInter652,Epinephrine,DDInter732,Fexofenadine,Unknown
DDInter652,Epinephrine,DDInter1191,Methylprednisolone,Unknown
DDInter652,Epinephrine,DDInter506,Desloratadine,Unknown
DDInter652,Epinephrine,DDInter707,Ezetimibe,Unknown
DDInter652,Epinephrine,DDInter1277,Neomycin,Unknown
DDInter652,Epinephrine,DDInter791,Gabapentin,Unknown
DDInter652,Epinephrine,DDInter883,Hydrochlorothiazide,Unknown
DDInter652,Epinephrine,DDInter990,Isosorbide mononitrate,Unknown
DDInter652,Epinephrine,DDInter972,Irbesartan,Unknown
DDInter652,Epinephrine,DDInter900,Ibuprofen,Unknown
DDInter652,Epinephrine,DDInter83,Amoxicillin,Unknown
DDInter652,Epinephrine,DDInter133,Atorvastatin,Unknown
DDInter652,Epinephrine,DDInter769,Fluvastatin,Unknown
DDInter652,Epinephrine,DDInter1622,Rosuvastatin,Unknown
DDInter652,Epinephrine,DDInter335,Cefuroxime,Unknown
DDInter652,Epinephrine,DDInter1291,Nifedipine,Unknown
DDInter652,Epinephrine,DDInter76,Amiodarone,Unknown
DDInter652,Epinephrine,DDInter1559,Rabeprazole,Unknown
DDInter652,Epinephrine,DDInter272,Calcium chloride,Unknown
DDInter652,Epinephrine,DDInter1325,Ofloxacin,Unknown
DDInter652,Epinephrine,DDInter292,Captopril,Unknown
DDInter652,Epinephrine,DDInter1046,Levetiracetam,Unknown
DDInter652,Epinephrine,DDInter393,Clarithromycin,Unknown
DDInter652,Epinephrine,DDInter334,Ceftriaxone,Unknown
DDInter652,Epinephrine,DDInter246,Budesonide,Unknown
DDInter652,Epinephrine,DDInter1197,Metoclopramide,Unknown
DDInter652,Epinephrine,DDInter513,Dexamethasone,Unknown
DDInter652,Epinephrine,DDInter314,Cefazolin,Unknown
DDInter652,Epinephrine,DDInter766,Fluticasone,Unknown
DDInter1249,Mupirocin,DDInter1095,Losartan,Unknown
DDInter1095,Losartan,DDInter1635,Salmeterol,Unknown
DDInter1095,Losartan,DDInter506,Desloratadine,Unknown
DDInter1095,Losartan,DDInter766,Fluticasone,Unknown
DDInter1822,Tobramycin,DDInter506,Desloratadine,Unknown
DDInter1822,Tobramycin,DDInter766,Fluticasone,Unknown
DDInter1066,Lidocaine,DDInter790,Furosemide,Unknown
DDInter1249,Mupirocin,DDInter790,Furosemide,Unknown
DDInter1091,Loratadine,DDInter790,Furosemide,Unknown
DDInter790,Furosemide,DDInter506,Desloratadine,Unknown
DDInter790,Furosemide,DDInter766,Fluticasone,Unknown
DDInter1821,Tizanidine,DDInter506,Desloratadine,Unknown
DDInter1821,Tizanidine,DDInter766,Fluticasone,Unknown
DDInter1745,Tamsulosin,DDInter506,Desloratadine,Unknown
DDInter1745,Tamsulosin,DDInter766,Fluticasone,Unknown
DDInter1091,Loratadine,DDInter1019,Lamivudine,Unknown
DDInter1019,Lamivudine,DDInter1513,Prednisolone,Unknown
DDInter1019,Lamivudine,DDInter1635,Salmeterol,Unknown
DDInter1019,Lamivudine,DDInter506,Desloratadine,Unknown
DDInter1019,Lamivudine,DDInter1533,Promethazine,Unknown
DDInter1019,Lamivudine,DDInter766,Fluticasone,Unknown
DDInter1249,Mupirocin,DDInter1079,Lisinopril,Unknown
DDInter1091,Loratadine,DDInter1079,Lisinopril,Unknown
DDInter1079,Lisinopril,DDInter1635,Salmeterol,Unknown
DDInter1079,Lisinopril,DDInter506,Desloratadine,Unknown
DDInter1079,Lisinopril,DDInter766,Fluticasone,Unknown
DDInter1304,Nitroglycerin,DDInter1513,Prednisolone,Unknown
DDInter1304,Nitroglycerin,DDInter1635,Salmeterol,Unknown
DDInter1304,Nitroglycerin,DDInter506,Desloratadine,Unknown
DDInter1304,Nitroglycerin,DDInter766,Fluticasone,Unknown
DDInter1605,Risperidone,DDInter506,Desloratadine,Unknown
DDInter1605,Risperidone,DDInter1277,Neomycin,Unknown
DDInter1605,Risperidone,DDInter766,Fluticasone,Unknown
DDInter1323,Octreotide,DDInter885,Hydrocortisone,Unknown
DDInter1509,Pravastatin,DDInter885,Hydrocortisone,Unknown
DDInter1098,Lovastatin,DDInter885,Hydrocortisone,Unknown
DDInter1516,Pregabalin,DDInter885,Hydrocortisone,Unknown
DDInter1834,Topiramate,DDInter885,Hydrocortisone,Unknown
DDInter1066,Lidocaine,DDInter885,Hydrocortisone,Unknown
DDInter1244,Morphine,DDInter885,Hydrocortisone,Unknown
DDInter1474,Piperacillin,DDInter885,Hydrocortisone,Unknown
DDInter1326,Olanzapine,DDInter885,Hydrocortisone,Unknown
DDInter1340,Omeprazole,DDInter885,Hydrocortisone,Unknown
DDInter1717,Sucralfate,DDInter885,Hydrocortisone,Unknown
DDInter1529,Progesterone,DDInter885,Hydrocortisone,Unknown
DDInter1249,Mupirocin,DDInter885,Hydrocortisone,Unknown
DDInter1505,Pramipexole,DDInter885,Hydrocortisone,Unknown
DDInter1172,Methocarbamol,DDInter885,Hydrocortisone,Unknown
DDInter48,Allopurinol,DDInter885,Hydrocortisone,Unknown
DDInter1874,Trimethoprim,DDInter885,Hydrocortisone,Unknown
DDInter1022,Lansoprazole,DDInter885,Hydrocortisone,Unknown
DDInter1091,Loratadine,DDInter885,Hydrocortisone,Unknown
DDInter1916,Vancomycin,DDInter885,Hydrocortisone,Unknown
DDInter1541,Propylthiouracil,DDInter885,Hydrocortisone,Unknown
DDInter136,Atropine,DDInter885,Hydrocortisone,Unknown
DDInter1073,Linezolid,DDInter885,Hydrocortisone,Unknown
DDInter1515,Prednisone,DDInter885,Hydrocortisone,Unknown
DDInter1675,Simvastatin,DDInter885,Hydrocortisone,Unknown
DDInter1318,Nystatin,DDInter885,Hydrocortisone,Unknown
DDInter1212,Midazolam,DDInter885,Hydrocortisone,Unknown
DDInter1822,Tobramycin,DDInter885,Hydrocortisone,Unknown
DDInter1821,Tizanidine,DDInter885,Hydrocortisone,Unknown
DDInter1745,Tamsulosin,DDInter885,Hydrocortisone,Unknown
DDInter1019,Lamivudine,DDInter885,Hydrocortisone,Unknown
DDInter1304,Nitroglycerin,DDInter885,Hydrocortisone,Unknown
DDInter885,Hydrocortisone,DDInter1783,Tetracycline,Unknown
DDInter885,Hydrocortisone,DDInter1538,Propofol,Unknown
